23.133.248.128/25,AU,AU-VIC,Melbourne,
23.133.248.50/31,JP,JP-27,Osaka,
23.133.248.0/24,AU,AU-VIC,Melbourne,
23.133.249.0/24,AU,AU-VIC,Melbourne,
23.133.250.0/24,AU,AU-VIC,Melbourne,
23.133.251.0/24,AU,AU-VIC,Melbourne,
23.133.252.0/24,AU,AU-VIC,Melbourne,
23.133.253.0/24,AU,AU-VIC,Melbourne,
23.133.254.0/24,AU,AU-VIC,Melbourne,
23.133.255.0/24,AU,AU-VIC,Melbourne,
128.254.226.64/26,CA,CA-ON,Toronto,
128.254.226.0/24,AU,AU-VIC,Melbourne,
2602:fba2::/32,AU,AU-VIC,Melbourne,
2602:fba2:3::/48,AU,AU-VIC,Melbourne,
2602:fba2:1::/48,CA,CA-ON,Toronto,
2602:fba2:2::/48,CA,CA-ON,Toronto,
2602:fba2:e2ad::/48,CA,CA-ON,Toronto,
2602:fba2:2112::/48,CA,CA-ON,Toronto,
2602:fba2:1100:1100::/64,CA,CA-ON,Toronto,
2602:fba2:aaaa::/48,AU,AU-TAS,Kingston,
2606:c740::/32,AU,AU-VIC,Melbourne,
2602:fba2:eaa1::/48,CA,CA-ON,Toronto,
2602:fba2:d000::/48,CA,CA-BC,Vancouver,
2602:fafd:faf::/48,AU,AU-VIC,Melbourne,
